"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Vaughn Grissom","ATL","17","68","3","14","10","2","5.9%","16.2%",".188",".380",".344",".382",".531",".396",".351","153","1.5","5.8","0.2","0.9","26031"
"Kyle Garlick","MIN","52","121","9","21","18","0","6.6%","24.0%",".275",".292",".275",".339",".550",".381",".358","154","0.8","8.1","-3.7","0.9","18063"
"Brandon Marsh","- - -","106","361","8","36","39","9","6.6%","36.0%",".119",".342",".226",".282",".345",".276",".282","76","2.9","-6.9","3.6","0.9","20202"
"Nick Gordon","MIN","103","305","5","31","24","6","4.6%","24.6%",".146",".345",".267",".311",".413",".315",".347","108","0.7","3.5","-4.8","0.9","16337"
"Anthony Rendon","LAA","45","188","5","15","24","2","12.2%","17.0%",".154",".252",".228",".324",".383",".314",".332","103","-0.3","0.4","1.9","0.9","12861"
"Danny Mendick","CHW","31","106","3","22","15","1","6.6%","21.7%",".155",".352",".289",".343",".443",".344",".273","126","1.0","4.1","0.7","0.8","18889"
"Luke Maile","CLE","56","156","2","17","14","0","11.5%","25.6%",".119",".316",".237",".327",".356",".305",".278","98","-0.5","-0.7","3.8","0.8","13355"
"Miguel Rojas","MIA","111","415","6","32","31","9","5.5%","11.8%",".096",".250",".232",".280",".328",".269",".291","73","-2.8","-16.0","9.8","0.8","7802"
"Josh Harrison","CHW","95","341","6","40","23","1","5.3%","16.1%",".120",".277",".243",".307",".362",".298",".281","93","-1.8","-4.5","1.8","0.8","8202"
"Alek Thomas","ARI","92","344","8","38","33","4","6.1%","18.6%",".126",".278",".243",".294",".369",".292",".291","84","0.8","-5.8","1.9","0.8","23792"
"Adam Duvall","ATL","86","315","12","39","36","0","6.7%","32.1%",".188",".278",".213",".276",".401",".295",".294","85","2.6","-2.9","-0.1","0.8","10950"
"Meibrys Viloria","TEX","23","66","2","10","5","0","16.7%","37.9%",".130",".286",".185",".318",".315",".291",".268","89","1.6","0.8","4.9","0.8","17109"
"Kevin Newman","PIT","55","228","1","25","18","5","5.3%","16.7%",".103",".326",".272",".316",".376",".304",".285","93","1.3","-0.5","0.5","0.8","17696"
"Kyle Higashioka","NYY","63","182","7","20","20","0","5.5%","22.5%",".157",".207",".193",".239",".349",".256",".299","65","0.6","-6.5","8.5","0.8","5517"
"Aledmys Diaz","HOU","78","274","10","31","32","1","6.2%","16.8%",".165",".271",".252",".303",".417",".315",".318","106","-3.6","-1.7","0.9","0.8","15937"
"Vinnie Pasquantino","KCR","49","200","8","18","15","0","11.0%","13.5%",".171",".270",".263",".350",".434",".344",".370","123","-1.1","4.1","-2.9","0.8","27676"
"Tommy Pham","- - -","112","479","14","72","52","7","9.6%","26.9%",".147",".318",".248",".319",".395",".315",".317","96","2.3","-0.2","-8.6","0.8","2967"
"Garrett Stubbs","PHI","39","97","5","18","14","2","10.3%","22.7%",".233",".339",".291",".365",".523",".383",".291","146","1.5","6.8","-2.9","0.8","18067"
"Danny Jansen","TOR","42","144","10","19","26","0","7.6%","18.8%",".244",".181",".213",".278",".457",".314",".361","105","-0.3","0.5","2.1","0.8","16535"
"Willi Castro","DET","90","322","5","38","24","7","4.0%","20.5%",".114",".299",".247",".292",".361",".287",".291","87","2.0","-2.6","-0.5","0.7","17338"
"Rob Refsnyder","BOS","40","127","4","19","14","0","9.4%","24.4%",".182",".390",".309",".386",".491",".380",".388","147","0.3","6.9","-3.9","0.7","13770"
"Jesse Winker","SEA","114","469","13","43","48","0","15.1%","18.1%",".135",".258",".228",".345",".363",".319",".348","114","-4.5","2.7","-10.7","0.7","13590"
"Eric Haase","DET","85","260","9","28","35","0","7.7%","28.5%",".169",".299",".236",".292",".405",".303",".299","99","-0.6","-1.0","-0.6","0.7","14111"
"Whit Merrifield","- - -","111","473","7","58","44","16","7.4%","15.0%",".107",".267",".239",".292",".346",".281",".294","79","3.1","-7.9","-0.3","0.7","11281"
"Taylor Trammell","SEA","32","94","3","14","9","2","11.7%","25.5%",".222",".291",".235",".323",".457",".337",".319","127","-0.3","2.5","1.0","0.7","19960"
"Andrew Vaughn","CHW","103","434","14","50","61","0","5.5%","16.1%",".168",".321",".291",".341",".460",".348",".329","129","-2.1","11.8","-18.9","0.7","26197"
"Isiah Kiner-Falefa","NYY","114","421","1","53","38","15","5.7%","14.3%",".052",".304",".262",".310",".314",".278",".284","81","-0.2","-9.4","2.6","0.7","16512"
"Ildemaro Vargas","- - -","30","99","3","10","10","1","7.1%","10.1%",".157",".273",".270",".333",".427",".333",".268","112","0.5","1.9","1.0","0.7","13324"
"Brian Serven","COL","49","162","6","18","15","0","7.4%","19.8%",".155",".245",".223",".286",".378",".293",".278","73","-0.5","-5.7","6.3","0.6","19422"
"J.D. Martinez","BOS","109","473","9","59","48","0","8.7%","24.5%",".149",".354",".275",".342",".424",".335",".357","115","-4.8","3.1","-11.8","0.6","6184"
"Eduardo Escobar","NYM","103","412","12","41","44","0","6.8%","24.5%",".167",".256",".214",".267",".381",".281",".290","84","2.8","-5.0","-3.0","0.6","6153"
"Joey Meneses","WSN","21","85","6","14","9","0","4.7%","17.6%",".259",".350",".333",".365",".593",".411",".362","165","-1.6","4.9","-1.9","0.6","14366"
"Carson Kelly","ARI","71","247","6","28","27","1","7.7%","19.4%",".140",".247",".216",".287",".356",".285",".283","80","-0.5","-6.4","3.9","0.6","13620"
"Andrew Velazquez","LAA","112","314","8","35","26","13","4.1%","32.8%",".111",".276",".201",".240",".311",".243",".254","53","3.4","-13.2","9.2","0.6","14196"
"Tyler O'Neill","STL","79","320","9","42","47","9","8.8%","26.9%",".135",".285",".227",".300",".362",".293",".318","90","0.4","-3.4","-1.7","0.6","15711"
"Joey Gallo","- - -","97","319","15","40","31","2","14.7%","38.6%",".203",".233",".170",".295",".373",".299",".305","95","-0.2","-1.9","-2.4","0.6","14128"
"Charlie Blackmon","COL","112","486","16","56","70","3","5.6%","17.9%",".169",".301",".270",".320",".438",".327",".311","96","1.4","-0.8","-10.0","0.6","7859"
"Ezequiel Duran","TEX","48","186","4","22","22","4","5.9%","24.2%",".131",".310",".246",".290",".377",".293",".254","91","1.4","-0.5","0.3","0.6","23733"
"Luis Gonzalez","SFG","79","292","4","27","32","10","8.9%","19.2%",".117",".307",".257",".329",".374",".309",".273","100","1.0","0.9","-5.3","0.6","20332"
"T.J. Friedl","CIN","40","136","2","19","16","6","5.1%","15.4%",".167",".287",".258",".316",".425",".319",".269","97","1.5","1.0","-0.2","0.6","19522"
"Mitch Haniger","SEA","28","119","7","16","18","0","6.7%","21.0%",".216",".291",".270",".319",".486",".346",".378","133","-0.1","4.3","-2.6","0.6","14274"
"Jorge Alfaro","SDP","72","254","7","25","36","1","3.9%","36.2%",".143",".373",".252",".287",".395",".297",".295","93","0.4","-1.9","-1.4","0.6","12180"
"Jason Vosler","SFG","23","74","4","10","10","1","9.5%","25.7%",".242",".341",".288",".351",".530",".373",".320","142","-0.3","3.4","-0.6","0.6","16686"
"Darick Hall","PHI","38","135","9","19","16","0","3.7%","29.6%",".287",".313",".264",".296",".550",".361",".322","131","-0.6","4.3","-3.7","0.6","19717"
"Roberto Perez","PIT","21","69","2","8","8","0","13.0%","36.2%",".133",".364",".233",".333",".367",".315",".308","101","-0.3","-0.2","3.1","0.5","2900"
"Jonathan Davis","MIL","37","91","0","9","4","7","15.4%","28.6%",".013",".340",".224",".344",".237",".279",".284","76","1.7","-0.9","2.9","0.5","15104"
"Kris Bryant","COL","42","181","5","28","14","0","9.4%","14.9%",".169",".338",".306",".376",".475",".370",".344","125","-0.6","4.7","-5.7","0.5","15429"
"Jorge Soler","MIA","72","306","13","32","34","0","10.1%","29.4%",".193",".256",".207",".295",".400",".305",".322","97","-0.8","-1.7","-3.6","0.5","14221"
"Francisco Mejia","TBR","72","235","6","29","27","0","2.1%","23.4%",".149",".310",".254",".272",".404",".292",".264","95","-0.2","-1.5","-0.8","0.5","16403"
"Corey Dickerson","STL","64","189","4","21","23","0","4.8%","16.4%",".141",".313",".277",".312",".418",".315",".309","105","0.4","1.5","-2.9","0.5","10762"
"Matt Reynolds","- - -","77","229","3","30","20","5","8.7%","29.3%",".092",".348",".246",".314",".338",".292",".270","79","1.1","-4.5","1.7","0.5","13788"
"Jesus Sanchez","MIA","93","325","12","36","33","1","7.4%","26.5%",".182",".245",".205",".271",".387",".288",".295","86","-1.4","-6.8","0.6","0.5","19913"
"Owen Miller","CLE","109","396","5","46","44","1","6.3%","19.7%",".115",".285",".239",".295",".355",".285",".289","84","1.1","-6.0","-1.6","0.5","24655"
"Luke Voit","- - -","100","418","17","45","55","1","10.5%","32.3%",".190",".301",".225",".316",".415",".320",".331","108","-3.1","0.6","-10.2","0.5","14811"
"Riley Greene","DET","61","276","5","33","28","1","7.2%","29.3%",".130",".343",".248",".304",".378",".300",".312","96","-1.6","-2.6","-1.4","0.5","25976"
"Yonathan Daza","COL","90","307","1","40","24","0","5.9%","12.7%",".068",".339",".299",".345",".367",".315",".318","88","-1.4","-5.7","-0.2","0.5","15794"
"Odubel Herrera","PHI","62","197","5","23","21","6","5.6%","21.3%",".141",".281",".238",".279",".378",".287",".272","81","0.8","-3.5","1.3","0.5","11476"
"Josh Smith","TEX","50","176","1","18","12","3","11.9%","18.8%",".048",".270",".218",".331",".265",".281",".298","82","0.6","-3.0","2.0","0.5","26396"
"Tyler Naquin","- - -","79","261","10","38","40","4","6.1%","26.8%",".216",".304",".245",".300",".461",".326",".322","105","1.8","3.2","-7.6","0.5","13359"
"Jake Marisnick","PIT","31","82","2","9","6","2","4.9%","29.3%",".156",".314",".234",".272",".390",".283",".270","79","-0.5","-2.5","4.1","0.5","11339"
"Luke Williams","- - -","61","115","1","19","6","11","7.0%","30.4%",".093",".352",".243",".296",".336",".277",".245","79","1.7","-1.2","1.6","0.5","19931"
"Carlos Santana","- - -","99","386","11","34","41","0","15.0%","15.3%",".148",".211",".201",".324",".349",".303",".347","98","-0.4","-1.3","-6.4","0.5","2396"
"Mike Brosseau","MIL","57","135","5","11","19","2","8.9%","29.6%",".158",".347",".258",".341",".417",".336",".286","115","0.7","3.1","-3.4","0.4","19683"
"Ben Gamel","PIT","91","340","6","35","39","5","10.3%","24.1%",".133",".318",".246",".329",".379",".314",".322","100","2.1","2.1","-9.4","0.4","12160"
"Edmundo Sosa","- - -","68","161","0","19","15","6","2.5%","27.3%",".088",".286",".203",".256",".291",".245",".272","57","2.1","-6.1","4.8","0.4","17022"
"Orlando Arcia","ATL","56","196","7","20","26","0","9.7%","21.4%",".162",".278",".243",".321",".405",".320",".335","102","-0.7","-0.3","-2.2","0.4","13185"
"Rodolfo Castro","PIT","37","138","4","10","8","4","7.2%","22.5%",".175",".297",".246",".312",".421",".320",".284","104","-0.4","0.3","-0.8","0.4","21987"
"Gilberto Celestino","MIN","88","229","2","22","17","0","7.4%","22.7%",".077",".331",".255",".317",".332",".292",".272","91","-2.0","-4.3","1.2","0.4","20233"
"Kyle Isbel","KCR","80","214","3","24","20","8","3.7%","27.1%",".125",".284",".215",".254",".340",".259",".260","63","-0.3","-9.1","6.2","0.4","21614"
"Rafael Ortega","CHC","107","336","6","31","28","9","12.2%","19.3%",".119",".273",".232",".326",".351",".302",".304","93","-4.6","-7.6","-0.1","0.4","10323"
"Jake Fraley","CIN","38","135","7","22","17","3","11.1%","19.3%",".220",".244",".237",".326",".458",".341",".344","112","1.1","3.0","-3.9","0.4","19260"
"Johan Camargo","PHI","52","166","3","8","15","0","7.8%","22.3%",".079",".295",".237",".297",".316",".276",".267","74","0.6","-4.5","2.6","0.4","14950"
"Geraldo Perdomo","ARI","113","395","4","47","31","6","10.6%","21.0%",".074",".241",".191",".288",".265",".256",".274","60","3.1","-15.5","5.7","0.4","22799"
"Tony Kemp","OAK","116","437","4","38","28","8","8.5%","13.7%",".080",".249",".220",".296",".301",".271",".257","80","1.5","-8.1","-1.8","0.4","14894"
"Albert Almora Jr.","CIN","63","231","5","25","29","3","6.9%","19.5%",".127",".264",".226",".283",".354",".281",".270","72","-3.0","-10.7","6.5","0.4","14109"
"Mitch Garver","TEX","54","215","10","23","24","1","10.7%","24.7%",".197",".228",".207",".298",".404",".308",".319","102","0.4","0.8","-4.1","0.4","15161"
"Edward Olivares","KCR","36","109","3","15","12","2","6.4%","22.0%",".131",".370",".303",".358",".434",".348",".346","126","0.4","3.5","-3.5","0.4","19698"
"Jason Delay","PIT","33","92","1","9","5","0","4.3%","32.6%",".070",".364",".244",".293",".314",".273",".240","72","-1.0","-4.0","4.3","0.4","19806"
"Nick Ahmed","ARI","17","54","3","7","7","0","3.7%","27.8%",".212",".265",".231",".259",".442",".302",".227","91","0.1","-0.5","2.1","0.4","12147"
"J.J. Bleday","MIA","32","123","4","12","7","3","13.0%","28.5%",".198",".254",".198",".309",".396",".313",".305","103","1.2","1.6","-2.4","0.4","26368"
"Paul DeJong","STL","51","180","6","15","24","3","8.9%","32.2%",".165",".208",".165",".256",".329",".261",".279","69","-0.9","-7.5","4.6","0.3","18015"
"Christian Arroyo","BOS","65","222","5","27","22","5","5.0%","16.2%",".141",".325",".286",".330",".427",".329",".339","111","-2.4","0.3","-4.0","0.3","16434"
"Lane Thomas","WSN","112","395","13","43","40","5","5.8%","24.3%",".164",".288",".241",".289",".405",".302",".274","91","-1.5","-5.6","-4.7","0.3","16939"
"Yoan Moncada","CHW","80","324","7","28","40","0","8.3%","27.2%",".116",".255",".197",".269",".313",".260",".281","66","0.4","-11.9","4.9","0.3","17232"
"Josh Lowe","TBR","52","198","2","24","13","3","7.6%","33.3%",".122",".336",".221",".284",".343",".276",".272","84","2.1","-1.5","-1.7","0.3","19953"
"Marwin Gonzalez","NYY","65","147","3","12","11","2","6.8%","25.9%",".123",".256",".200",".271",".323",".266",".282","72","0.4","-4.2","2.5","0.3","5497"
"Andrew Knizner","STL","77","229","2","23","22","0","10.0%","20.5%",".070",".293",".231",".329",".302",".291",".290","89","-1.4","-4.4","-0.5","0.3","19514"
"Roman Quinn","- - -","44","87","0","15","7","4","8.0%","41.4%",".089",".395",".215",".287",".304",".266",".244","73","0.3","-2.4","2.5","0.3","13546"
"Charles Leblanc","MIA","20","64","2","6","3","3","3.1%","21.9%",".161",".391",".323",".344",".484",".359",".320","134","-0.1","2.5","-1.8","0.3","19813"
"Andrew McCutchen","MIL","108","472","14","58","56","8","8.7%","19.1%",".149",".278",".245",".314",".394",".311",".324","99","-2.0","-2.9","-10.5","0.3","9847"
"Eric Hosmer","- - -","102","414","8","38","44","0","8.9%","15.5%",".115",".303",".267",".333",".381",".313",".311","103","-4.8","-3.4","-7.9","0.3","3516"
"Jake Burger","CHW","51","183","8","20","26","0","5.5%","30.6%",".208",".324",".250",".302",".458",".327",".318","114","-1.0","1.8","-4.8","0.3","22275"
"Tyler Heineman","- - -","50","139","0","13","8","1","4.3%","11.5%",".047",".232",".203",".250",".250",".227",".247","42","0.4","-9.1","7.1","0.3","13897"
"Victor Robles","WSN","107","329","4","38","28","13","4.6%","25.2%",".078",".292",".220",".278",".298",".260",".246","63","3.2","-11.1","2.6","0.3","18363"
"Jonathan India","CIN","69","291","8","35","28","2","5.2%","23.0%",".151",".305",".249",".316",".400",".317",".281","96","-1.3","-2.7","-4.6","0.3","21523"
"Nate Eaton","KCR","19","51","1","5","3","2","7.8%","33.3%",".136",".250",".182",".255",".318",".252",".222","58","0.0","-2.4","3.4","0.3","25055"
"David Villar","SFG","23","80","1","8","7","0","16.3%","35.0%",".111",".286",".175",".338",".286",".294",".279","89","0.6","-0.4","0.2","0.3","24782"
"Derek Hill","DET","31","92","1","8","3","3","5.4%","30.4%",".060",".327",".229",".270",".289",".249",".230","60","0.8","-3.3","2.9","0.3","16947"
"Gabriel Moreno","TOR","18","60","0","3","4","0","3.3%","11.7%",".017",".314",".276",".300",".293",".265",".258","71","-0.6","-2.5","3.1","0.3","22664"
"J.D. Davis","- - -","83","258","8","35","26","1","10.1%","32.2%",".156",".346",".244",".333",".400",".323",".355","112","-3.2","0.6","-7.0","0.2","16219"
"Skye Bolt","OAK","42","116","4","10","13","5","6.0%","25.9%",".132",".233",".198",".259",".330",".262",".258","74","1.2","-2.2","0.9","0.2","17723"
"Jonah Bride","OAK","37","137","1","10","6","1","8.8%","15.3%",".050",".255",".218",".309",".269",".268",".284","79","-0.9","-4.1","2.0","0.2","24703"
"Austin Hedges","CLE","79","255","6","21","23","1","7.8%","22.4%",".095",".213",".181",".262",".276",".246",".256","57","-2.0","-14.4","8.6","0.2","12976"
"Connor Joe","COL","104","446","6","53","26","6","11.9%","20.4%",".117",".300",".241",".341",".358",".315",".313","87","-0.3","-6.9","-6.2","0.2","16572"
"Luis Barrera","OAK","32","85","1","3","7","3","7.1%","20.0%",".104",".283",".234",".294",".338",".281",".262","87","-0.8","-2.0","1.4","0.2","19615"
"Enrique Hernandez","BOS","61","277","6","31","34","0","7.2%","18.8%",".139",".249",".219",".278",".359",".280",".284","75","-0.5","-8.1","1.5","0.2","10472"
"MJ Melendez","KCR","97","393","14","39","46","0","12.7%","25.4%",".182",".268",".224",".321",".406",".318",".329","105","-1.2","1.0","-11.3","0.2","22197"
"Mauricio Dubon","- - -","79","209","4","25","21","2","5.7%","9.1%",".099",".215",".215",".256",".314",".251",".281","61","-0.8","-10.0","5.3","0.2","16530"
"James McCann","NYM","42","130","2","11","13","2","3.8%","23.8%",".084",".239",".193",".246",".277",".235",".307","53","0.3","-6.9","4.3","0.2","12859"
"Elehuris Montero","COL","32","112","4","14","13","0","1.8%","34.8%",".193",".348",".248",".268",".440",".305",".291","81","-0.2","-2.7","0.8","0.2","20543"
"Wil Myers","SDP","51","197","3","18","29","0","6.1%","31.0%",".105",".358",".254",".299",".359",".287",".253","86","0.5","-2.7","-2.2","0.2","10047"
"Max Stassi","LAA","84","315","7","25","24","0","10.5%","29.5%",".118",".254",".189",".276",".307",".264",".277","68","-2.8","-14.2","6.2","0.2","10059"
"Jose Azocar","SDP","75","152","0","17","8","4","5.9%","21.1%",".085",".333",".261",".303",".345",".285",".273","85","-1.6","-4.4","1.0","0.2","18821"
"Alejo Lopez","CIN","38","85","0","7","3","2","7.1%","14.1%",".052",".338",".286",".353",".338",".312",".302","93","-0.1","-0.8","-0.3","0.2","21127"
"Randal Grichuk","COL","112","427","13","48","60","3","4.7%","23.9%",".155",".334",".273",".314",".428",".323",".283","93","-1.1","-4.6","-8.3","0.2","10243"
"Nolan Jones","CLE","28","94","2","10","13","0","8.5%","33.0%",".128",".358",".244",".309",".372",".298",".325","93","-0.8","-1.5","0.2","0.2","20529"
"Jordan Luplow","ARI","73","203","11","25","27","5","10.3%","26.6%",".213",".158",".163",".261",".376",".280",".285","76","0.8","-5.0","-0.4","0.2","16424"
"Franchy Cordero","BOS","77","257","7","35","28","4","10.1%","32.3%",".177",".319",".226",".306",".403",".309",".316","96","2.6","1.6","-8.0","0.2","14567"
"Yan Gomes","CHC","64","214","6","18","19","0","2.8%","15.0%",".123",".232",".221",".248",".343",".258",".287","63","-2.0","-11.3","5.6","0.2","9627"
"Juan Yepez","STL","63","229","11","24","27","0","6.1%","23.1%",".205",".280",".252",".297",".457",".324",".294","111","-0.3","2.6","-8.9","0.2","18400"
"Harold Castro","DET","93","340","5","34","31","0","4.1%","18.8%",".116",".340",".284",".315",".400",".312",".327","105","-1.2","0.5","-9.7","0.1","14691"
"Bubba Thompson","TEX","20","72","0","6","6","7","4.2%","31.9%",".015",".395",".258",".310",".273",".267",".199","72","1.6","-0.6","-0.2","0.1","22261"
"David Bote","CHC","21","59","1","9","3","1","5.1%","42.4%",".111",".464",".259",".322",".370",".309",".267","97","0.4","0.2","-0.9","0.1","14593"
"Austin Nola","SDP","86","320","3","32","32","2","9.4%","15.9%",".072",".290",".253",".328",".325",".292",".313","90","-0.4","-4.3","-5.3","0.1","15941"
"Cesar Hernandez","WSN","124","531","0","55","26","8","6.8%","18.3%",".064",".306",".245",".305",".309",".277",".285","74","-0.8","-17.0","0.1","0.1","10556"
"Curt Casali","- - -","45","138","4","14","14","0","11.6%","29.7%",".126",".289",".218",".312",".345",".295",".281","90","-0.3","-1.9","-1.5","0.1","12510"
"Nomar Mazara","SDP","55","171","2","16","18","0","5.8%","23.4%",".088",".342",".264",".316",".352",".298",".294","93","0.0","-1.4","-3.3","0.1","14553"
"Brett Phillips","- - -","83","225","5","22","15","7","7.1%","41.8%",".104",".233",".144",".217",".249",".213",".220","39","3.8","-11.6","5.7","0.1","14735"
"Nick Madrigal","CHC","50","192","0","19","5","2","5.7%","12.5%",".034",".283",".244",".300",".278",".264",".283","67","-0.3","-7.8","2.4","0.1","20521"
"Greg Allen","PIT","29","95","1","11","5","6","9.5%","27.4%",".072",".268",".193",".287",".265",".257",".265","61","2.0","-2.3","0.1","0.1","16623"
"Edwin Rios","LAD","27","92","7","12","17","0","5.4%","39.1%",".256",".326",".244",".293",".500",".338",".312","119","-0.7","1.4","-3.6","0.1","18316"
"Rougned Odor","BAL","113","391","11","40","43","4","7.2%","23.5%",".159",".236",".201",".269",".360",".275",".270","79","0.3","-9.0","-2.3","0.1","12282"
"Colin Moran","CIN","38","121","5","9","23","0","11.6%","24.0%",".173",".233",".212",".298",".385",".299",".315","84","-0.5","-2.8","-0.5","0.1","16909"
"Martin Maldonado","HOU","93","314","12","31","37","0","6.1%","31.2%",".168",".220",".179",".241",".347",".259",".252","67","-3.1","-14.7","5.7","0.1","6887"
"Sam Huff","TEX","30","82","1","5","5","1","6.1%","32.9%",".065",".388",".260",".305",".325",".277",".268","79","0.3","-1.6","-0.2","0.1","22209"
"Cal Stevenson","OAK","16","52","0","3","1","1","11.5%","32.7%",".070",".296",".186",".280",".256",".247",".284","63","0.4","-1.8","0.9","0.1","22411"
"Aristides Aquino","CIN","51","166","4","15","18","2","5.4%","42.2%",".115",".289",".178",".223",".293",".229",".219","36","0.7","-11.7","6.8","0.1","15482"
"Jake Meyers","HOU","46","149","1","11","14","1","4.7%","33.6%",".094",".315",".209",".255",".302",".247",".242","58","0.2","-6.8","2.8","0.1","20308"
"Zack Collins","TOR","26","79","4","7","10","0","7.6%","39.2%",".222",".270",".194",".266",".417",".298",".266","94","0.2","-0.3","-1.5","0.1","19181"
"Adam Engel","CHW","94","220","2","29","14","11","5.0%","28.6%",".097",".319",".228",".277",".325",".266",".252","71","1.9","-5.3","-0.9","0.1","15082"
"Luke Raley","TBR","22","72","1","7","4","0","9.7%","33.3%",".082",".297",".197",".306",".279",".272",".286","80","0.1","-1.5","-0.2","0.1","19354"
"Adalberto Mondesi","KCR","15","54","0","3","3","5","7.4%","37.0%",".000",".233",".140",".204",".140",".166",".211","-3","1.0","-5.3","4.0","0.0","13769"
"Jake Hager","ARI","28","59","0","4","3","0","13.6%","28.8%",".040",".364",".240",".345",".280",".291",".247","84","0.5","-0.6","-1.0","0.0","12198"
"Nick Solak","TEX","33","88","3","12","4","3","6.8%","20.5%",".130",".232",".208",".299",".338",".289",".331","88","0.4","-0.8","-1.6","0.0","19294"
"Pavin Smith","ARI","65","241","9","20","31","1","10.4%","26.1%",".155",".245",".207",".290",".362",".288",".307","81","0.6","-4.7","-3.2","0.0","19892"
"Darin Ruf","- - -","104","349","11","51","44","2","12.3%","26.6%",".151",".269",".214",".321",".365",".308",".321","99","0.7","0.3","-11.9","0.0","9929"
"Jake Lamb","- - -","35","98","3","12","6","0","10.2%","30.6%",".198",".321",".233",".327",".430",".332",".313","117","-1.8","0.2","-3.1","0.0","13329"
"Buddy Kennedy","ARI","29","90","1","9","12","0","7.8%","23.3%",".113",".283",".225",".289",".338",".276",".255","73","0.0","-2.8","0.1","0.0","22505"
"Brandon Belt","SFG","78","298","8","25","23","1","12.4%","27.2%",".138",".277",".213",".326",".350",".304",".326","96","-1.1","-2.6","-7.3","0.0","10264"
"Terrin Vavra","BAL","20","54","0","8","7","0","13.0%","20.4%",".067",".306",".244",".333",".311",".290",".282","89","-0.4","-1.0","-0.4","0.0","24400"
"Jo Adell","LAA","61","205","6","16","20","4","4.9%","37.1%",".153",".349",".232",".279",".384",".290",".281","86","0.3","-2.8","-3.4","0.0","20220"
"Daz Cameron","DET","21","70","1","6","8","2","7.1%","28.6%",".125",".302",".219",".286",".344",".280",".304","82","1.0","-0.4","-1.7","0.0","18353"
"Yu Chang","- - -","52","147","3","13","12","0","6.8%","32.7%",".091",".289",".205",".272",".295",".256",".267","67","0.0","-5.7","1.1","0.0","14773"
"A.J. Pollock","CHW","105","397","8","43","41","1","6.0%","19.4%",".128",".276",".236",".285",".364",".285",".318","84","-1.5","-8.6","-3.7","0.0","9256"
"Rene Pinto","TBR","22","71","2","3","9","0","2.8%","43.7%",".103",".343",".206",".239",".309",".243",".209","60","-0.4","-3.5","1.3","0.0","19859"
"Mike Zunino","TBR","36","123","5","7","16","0","4.9%","37.4%",".157",".185",".148",".195",".304",".219",".252","43","0.0","-7.8","3.9","0.0","13265"
"Michael Massey","KCR","25","88","1","4","8","2","4.5%","22.7%",".114",".322",".253",".310",".367",".299",".362","92","0.3","-0.5","-2.3","0.0","27684"
"Tucupita Marcano","PIT","41","150","2","15","12","2","6.0%","25.3%",".104",".281",".215",".267",".319",".260",".217","64","0.8","-5.7","0.4","0.0","22871"
"Tomas Nido","NYM","78","249","0","21","19","0","5.2%","25.3%",".041",".306",".221",".266",".261",".238",".262","55","-5.9","-19.0","10.4","0.0","13755"
"Oneil Cruz","PIT","54","212","10","23","30","6","6.6%","38.2%",".193",".271",".198",".250",".391",".276",".282","75","-0.1","-6.4","-0.9","0.0","21711"
"Matt Duffy","LAA","45","143","0","7","5","0","6.3%","21.0%",".030",".337",".261",".308",".291",".271",".285","72","-0.1","-4.5","-0.1","0.0","13836"
"Jeimer Candelario","DET","101","377","11","41","37","0","6.1%","23.9%",".144",".235",".199",".260",".343",".267",".290","73","-0.7","-12.2","0.2","0.0","13621"
"Jose Herrera","ARI","47","124","0","9","5","0","7.3%","27.4%",".018",".273",".189",".250",".207",".213",".186","31","0.6","-9.5","5.1","0.0","17040"
"Miguel Andujar","NYY","19","70","0","7","5","4","2.9%","22.9%",".030",".308",".239",".257",".269",".233",".277","49","1.7","-2.3","-0.3","0.0","15878"
"Nelson Velazquez","CHC","54","146","6","16","19","4","8.2%","29.5%",".187",".259",".209",".274",".396",".293",".321","87","0.5","-1.8","-3.6","0.0","23359"
"Victor Reyes","DET","67","237","1","18","24","2","4.6%","23.2%",".094",".367",".283",".316",".377",".304",".296","99","0.5","0.2","-8.0","0.0","15487"
"Patrick Mazeika","NYM","24","72","1","4","6","0","2.8%","12.5%",".103",".207",".191",".214",".294",".223",".218","45","-0.1","-4.8","1.9","0.0","18142"
"Aramis Garcia","CIN","46","113","1","6","4","0","2.7%","30.1%",".047",".310",".217",".252",".264",".232",".247","39","-2.2","-10.3","5.9","-0.1","16925"
"Gavin Sheets","CHW","92","305","10","22","36","0","5.6%","20.0%",".165",".294",".257",".305",".423",".317",".287","107","-2.3","0.1","-10.3","-0.1","19901"
"Chad Pinder","OAK","87","319","10","31","38","2","3.4%","30.4%",".151",".312",".237",".262",".388",".281",".285","88","-0.5","-4.8","-5.8","-0.1","15191"
"J.J. Matijevic","HOU","27","59","2","7","4","1","3.4%","32.2%",".145",".265",".200",".254",".345",".266",".282","72","0.3","-1.6","-1.0","-0.1","20165"
"Yermin Mercedes","SFG","30","80","1","9","8","0","11.3%","21.3%",".114",".308",".243",".338",".357",".313",".327","102","0.0","0.2","-3.8","-0.1","17423"
"Yadier Molina","STL","59","199","2","12","12","1","2.0%","16.1%",".057",".238",".206",".226",".263",".217",".243","39","-3.8","-18.1","10.4","-0.1","7007"
