"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Bobby Witt Jr.","KCR","117","485","18","64","64","26","4.7%","21.9%",".192",".292",".254",".297",".447",".320",".319","106","5.4","8.9","-3.3","2.2","25764"
"Amed Rosario","CLE","119","518","8","69","51","12","4.4%","15.6%",".122",".328",".286",".320",".408",".318",".312","108","1.3","5.7","-1.3","2.2","15518"
"Jon Berti","MIA","71","275","2","34","20","31","12.0%","22.2%",".100",".345",".264",".356",".364",".324",".317","110","6.0","9.2","1.6","2.1","12037"
"Christian Yelich","MIL","120","525","10","81","42","16","13.0%","23.8%",".127",".338",".260",".361",".387",".332",".344","112","4.6","12.1","-10.0","2.1","11477"
"Nathaniel Lowe","TEX","121","496","21","59","64","2","6.7%","23.0%",".193",".359",".299",".349",".492",".363",".348","141","-2.6","20.1","-16.0","2.1","19566"
"William Contreras","ATL","71","279","17","40","37","2","10.4%","26.2%",".256",".325",".276",".351",".532",".379",".356","142","-1.2","12.6","-2.5","2.0","20503"
"Kyle Schwarber","PHI","121","519","35","79","73","6","12.3%","30.8%",".278",".237",".213",".314",".491",".345",".374","121","-1.5","11.2","-9.4","2.0","16478"
"Tim Anderson","CHW","79","351","6","50","25","13","4.0%","15.7%",".093",".347",".301",".339",".395",".323",".341","111","2.7","7.1","1.4","2.0","15172"
"Ronald Acuna Jr.","ATL","91","411","10","57","35","25","10.9%","22.9%",".133",".344",".274",".367",".407",".343",".372","117","4.6","13.0","-7.7","2.0","18401"
"Jace Peterson","MIL","82","244","8","34","30","10","9.0%","25.4%",".185",".311",".250",".322",".435",".328",".312","110","2.8","5.7","5.0","2.0","12325"
"Anthony Santander","BAL","118","503","23","59","73","0","8.3%","18.1%",".200",".275",".258",".336",".458",".346",".348","129","0.2","16.3","-13.1","2.0","14551"
"Jorge Polanco","MIN","104","445","16","54","56","3","14.4%","21.3%",".171",".269",".235",".346",".405",".333",".360","120","0.4","10.6","-6.1","1.9","13152"
"Trevor Story","BOS","82","345","15","50","58","10","8.1%","30.7%",".200",".280",".223",".290",".423",".305",".298","93","3.3","0.8","6.6","1.9","12564"
"Max Kepler","MIN","103","409","9","47","42","3","11.5%","14.9%",".127",".251",".229",".325",".357",".305",".344","101","0.0","0.3","5.1","1.9","12144"
"Teoscar Hernandez","TOR","100","405","18","51","59","6","6.4%","28.9%",".212",".331",".260",".311",".472",".339",".342","123","-1.7","8.8","-3.3","1.9","13066"
"Ty France","SEA","107","469","14","44","62","0","6.2%","15.1%",".146",".300",".275",".344",".421",".335",".322","125","-1.3","11.8","-8.5","1.9","17982"
"Randy Arozarena","TBR","121","508","17","54","67","24","7.7%","24.4%",".181",".321",".260",".331",".441",".336",".304","126","-7.3","7.8","-5.8","1.9","19290"
"J.P. Crawford","SEA","115","485","5","50","33","3","9.7%","12.2%",".094",".284",".256",".335",".351",".307",".314","106","-0.6","2.4","0.2","1.9","15491"
"Ramon Urias","BAL","95","360","14","42","47","1","5.6%","21.9%",".172",".281",".248",".293",".420",".308",".316","102","0.2","1.1","5.3","1.9","18795"
"Lars Nootbaar","STL","74","231","8","36","28","3","14.7%","20.8%",".208",".279",".245",".355",".453",".351",".347","130","1.3","9.3","-0.2","1.8","21454"
"Isaac Paredes","TBR","80","286","16","40","37","0","9.1%","16.8%",".238",".206",".219",".294",".457",".325",".299","118","-0.6","5.2","2.9","1.8","20036"
"Brendan Donovan","STL","94","339","2","40","35","2","12.4%","16.2%",".088",".361",".298",".404",".386",".356",".333","133","-2.4","10.6","-5.3","1.8","24679"
"Wilmer Flores","SFG","118","463","16","59","59","0","9.3%","16.2%",".185",".266",".249",".330",".433",".333",".315","116","-1.3","7.2","-6.2","1.8","5827"
"Austin Hays","BAL","114","467","15","58","53","2","5.6%","20.3%",".177",".296",".256",".313",".434",".325",".311","114","0.6","8.0","-6.0","1.7","19363"
"Thairo Estrada","SFG","107","411","11","55","49","16","5.1%","16.1%",".147",".281",".256",".307",".403",".310",".299","100","2.1","2.2","0.3","1.7","16426"
"Elvis Andrus","- - -","114","419","8","44","34","8","7.4%","16.5%",".127",".269",".236",".296",".363",".292",".271","95","2.2","-0.2","3.5","1.7","8709"
"Seby Zavala","CHW","46","163","2","16","18","0","9.2%","31.3%",".119",".424",".287",".354",".406",".335",".281","119","-0.2","3.3","8.0","1.7","18887"
"Austin Slater","SFG","103","278","5","41","29","11","12.9%","26.6%",".132",".361",".264",".371",".396",".342",".348","122","3.5","10.6","-3.7","1.7","16153"
"Chas McCormick","HOU","91","315","12","36","37","2","11.4%","25.1%",".181",".289",".238",".327",".419",".328",".336","116","-0.1","5.5","1.0","1.7","19599"
"C.J. Cron","COL","121","514","24","65","84","0","6.4%","25.9%",".221",".328",".272",".326",".494",".350",".320","111","0.0","6.7","-8.1","1.7","12546"
"Brendan Rodgers","COL","115","497","11","61","60","0","7.2%","17.1%",".143",".320",".280",".332",".423",".329",".327","97","-2.2","-3.7","3.0","1.7","17907"
"Trent Grisham","SDP","123","456","15","50","47","5","11.6%","25.9%",".165",".233",".193",".296",".357",".292",".302","89","5.6","-0.2","0.6","1.7","18564"
"Trayce Thompson","- - -","53","157","6","24","27","2","11.5%","35.0%",".225",".416",".275",".363",".500",".374",".366","144","2.8","10.9","-0.4","1.7","9952"
"Bryan Reynolds","PIT","110","459","21","57","48","5","9.6%","23.3%",".204",".289",".251",".333",".456",".342",".322","119","-1.0","9.2","-9.2","1.6","19326"
"Harold Ramirez","TBR","89","311","5","38","45","3","5.1%","14.5%",".115",".367",".325",".367",".441",".352",".324","137","-2.0","11.0","-5.2","1.6","14387"
"Jose Iglesias","COL","108","428","3","48","47","2","3.7%","11.4%",".095",".341",".307",".343",".401",".327",".285","96","-2.8","-4.7","5.6","1.6","10231"
"Hunter Renfroe","MIL","90","374","23","44","54","1","7.5%","24.3%",".254",".264",".246",".308",".500",".347",".327","122","-2.0","7.8","-5.2","1.6","15464"
